"departamento","indice_combinado","ranking_nacional"
CALLAO,98.1500000000000000,1
LIMA,75.4500000000000000,2
ICA,74.6800000000000000,3
TUMBES,70.4000000000000000,4
TACNA,70.0500000000000000,5
LAMBAYEQUE,70.0200000000000000,6
JUNIN,69.4750000000000000,7
AREQUIPA,69.3600000000000000,8
SAN MARTIN,68.4250000000000000,9
MOQUEGUA,68.1600000000000000,10
PIURA,66.9600000000000000,11
PASCO,64.6850000000000000,12
CUSCO,64.0300000000000000,13
PUNO,63.6150000000000000,14
AYACUCHO,63.1900000000000000,15
LA LIBERTAD,63.0800000000000000,16
HUANUCO,62.0450000000000000,17
ANCASH,61.4100000000000000,18
APURIMAC,61.3350000000000000,19
MADRE DE DIOS,56.9850000000000000,20
AMAZONAS,56.2850000000000000,21
CAJAMARCA,56.2100000000000000,22
UCAYALI,55.9450000000000000,23
HUANCAVELICA,47.7850000000000000,24
LORETO,41.5200000000000000,25
