NUM;FECHA_CORTE;PERIODO;EMPRESA_OPERADORA;UBIGEO_CCPP;UBIGEO_DISTRITO;DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO_POBLADO;LATITUD;LONGITUD;2G;3G;4G;5G;VOZ;SMS;MMS;HASTA_1_MBPS;MÁS_DE_1_MBPS;CANT_EB_2G;CANT_EB_3G;CANT_EB_4G;CANT_EB_5G
1;20230613;202303;Viettel Perú S.A.C.;0101010001;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CHACHAPOYAS;-6.229413511;-77.87249747;0;1;1;0;1;1;1;0;1;0;6;5;0
2;20230613;202303;Viettel Perú S.A.C.;0101010002;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CACLIC;-6.20244;-77.90147;0;1;0;0;1;1;1;0;1;0;0;0;0
3;20230613;202303;Viettel Perú S.A.C.;0101010004;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL TAPIAL;-6.20844;-77.86759;0;1;1;0;1;1;1;0;1;0;2;2;0
4;20230613;202303;Viettel Perú S.A.C.;0101010006;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;POLLAPAMPA;-6.22339;-77.87446;0;1;1;0;1;1;1;0;1;0;3;2;0
5;20230613;202303;Viettel Perú S.A.C.;0101010007;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;BOCANEGRA;-6.22529;-77.88925;0;1;0;0;1;1;1;0;1;0;0;0;0
6;20230613;202303;Viettel Perú S.A.C.;0101010008;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;LETICIA;-6.2118;-77.90457;0;1;0;0;1;1;1;0;1;0;0;0;0
7;20230613;202303;Viettel Perú S.A.C.;0101010009;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL CRUCE;-6.22521;-77.91173;0;1;0;0;1;1;1;0;1;0;0;0;0
8;20230613;202303;Viettel Perú S.A.C.;0101010010;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;ACHAMAQUI;-6.2294;-77.91569;0;1;0;0;1;1;1;0;1;0;0;0;0
9;20230613;202303;Viettel Perú S.A.C.;0101010011;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;PUCACRUZ;-6.23982;-77.87296;0;1;1;0;1;1;1;0;1;0;1;1;0
10;20230613;202303;Viettel Perú S.A.C.;0101010012;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL MOLINO;-6.2468;-77.8878;0;1;1;0;1;1;1;0;1;0;0;0;0
11;20230613;202303;Viettel Perú S.A.C.;0101010013;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL ALFALFAR;-6.24399;-77.87915;0;1;1;0;1;1;1;0;1;0;0;0;0
12;20230613;202303;Viettel Perú S.A.C.;0101010015;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;VILLA PARIS;-6.24134;-77.86935;0;1;1;0;1;1;1;0;1;0;0;0;0
13;20230613;202303;Viettel Perú S.A.C.;0101010016;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SANTA ISABEL;-6.24339;-77.8655;0;1;1;0;1;1;1;0;1;0;1;0;0
14;20230613;202303;Viettel Perú S.A.C.;0101010017;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;OSMAL;-6.25922;-77.86944;0;1;0;0;1;1;1;0;1;0;0;0;0
15;20230613;202303;Viettel Perú S.A.C.;0101010019;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SANTA CRUZ;-6.237286675;-77.83818638;0;1;0;0;1;1;1;0;1;0;0;0;0
16;20230613;202303;Viettel Perú S.A.C.;0101010020;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;MARIPATA;-6.25701;-77.82148;0;1;0;0;1;1;1;0;1;0;0;0;0
17;20230613;202303;Viettel Perú S.A.C.;0101010021;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;MEMBRILLO;-6.2479804;-77.80769;0;1;0;0;1;1;1;0;1;0;0;0;0
18;20230613;202303;Viettel Perú S.A.C.;0101010022;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;TAQUIPAMPA;-6.25099;-77.78558;0;1;0;0;1;1;1;0;1;0;0;0;0
19;20230613;202303;Viettel Perú S.A.C.;0101010023;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;OPELEL;-6.25148;-77.81151;0;1;0;0;1;1;1;0;1;0;0;0;0
20;20230613;202303;Viettel Perú S.A.C.;0101010024;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;TAQUIA;-6.253929143;-77.83305027;0;1;0;0;1;1;1;0;1;0;0;0;0
21;20230613;202303;Viettel Perú S.A.C.;0101010025;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;EL FRANCO;-6.25082;-77.8373;0;1;0;0;1;1;1;0;1;0;0;0;0
22;20230613;202303;Viettel Perú S.A.C.;0101010026;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;JUPIA;-6.27245;-77.88002;0;1;0;0;1;1;1;0;1;0;0;0;0
23;20230613;202303;Viettel Perú S.A.C.;0101010027;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;PENCAPAMPA;-6.25982012;-77.89832291;0;1;1;0;1;1;1;0;1;0;0;0;0
24;20230613;202303;Viettel Perú S.A.C.;0101010028;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;LUCMAURCO;-6.24906;-77.90502;0;1;1;0;1;1;1;0;1;0;0;0;0
25;20230613;202303;Viettel Perú S.A.C.;0101010029;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;PUENTE UTCUBAMBA;-6.2476;-77.92493;0;1;0;0;1;1;1;0;1;0;0;0;0
26;20230613;202303;Viettel Perú S.A.C.;0101010030;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;HIDALGO;-6.26026;-77.92307;0;1;0;0;1;1;1;0;1;0;0;0;0
27;20230613;202303;Viettel Perú S.A.C.;0101010031;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SAN ANTONIO;-6.26083;-77.90717;0;1;1;0;1;1;1;0;1;0;0;0;0
28;20230613;202303;Viettel Perú S.A.C.;0101010032;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;MITOPAMPA;-6.26721;-77.8892;0;1;1;0;1;1;1;0;1;0;0;0;0
29;20230613;202303;Viettel Perú S.A.C.;0101010033;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SACRAHUAYCO;-6.2752422;-77.90365;0;1;0;0;1;1;1;0;1;0;0;0;0
30;20230613;202303;Viettel Perú S.A.C.;0101010035;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SAN ISIDRO;-6.27454;-77.93953;0;1;0;0;1;1;1;0;1;0;0;0;0
31;20230613;202303;Viettel Perú S.A.C.;0101010038;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SAN FRANCISCO;-6.28206;-77.93656;0;1;0;0;1;1;1;0;1;0;0;0;0
32;20230613;202303;Viettel Perú S.A.C.;0101050001;010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;CHILIQUIN;-6.07826;-77.73737;0;1;0;0;1;1;1;0;1;0;0;0;0
33;20230613;202303;Viettel Perú S.A.C.;0101050004;010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;CHALLO;-6.0564;-77.79831;0;1;0;0;1;1;1;0;1;0;0;0;0
34;20230613;202303;Viettel Perú S.A.C.;0101050005;010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;TAUPA;-6.03692;-77.77148;0;1;0;0;1;1;1;0;1;0;0;0;0
