anio,trimestre,empresa_operadora,centros_con_cobertura
2010,IV,Telefónica del Perú S.A.A.,18940
2011,IV,Telefónica del Perú S.A.A.,19520
2012,IV,Telefónica del Perú S.A.A.,20075
2013,IV,Telefónica del Perú S.A.A.,29544
2014,III,Telefónica del Perú S.A.A.,31122
2014,IV,Telefónica del Perú S.A.A.,17278
2015,I,Telefónica del Perú S.A.A.,17401
2015,II,Telefónica del Perú S.A.A.,17483
2015,III,Telefónica del Perú S.A.A.,17589
2015,IV,Telefónica del Perú S.A.A.,17906
2016,I,Telefónica del Perú S.A.A.,18054
2016,II,Telefónica del Perú S.A.A.,18069
2016,III,Telefónica del Perú S.A.A.,18093
2016,IV,Telefónica del Perú S.A.A.,18144
2017,I,Telefónica del Perú S.A.A.,18199
2017,II,Telefónica del Perú S.A.A.,18199
2017,III,Telefónica del Perú S.A.A.,19684
2017,IV,Telefónica del Perú S.A.A.,20262
2018,I,Telefónica del Perú S.A.A.,20266
2018,II,Telefónica del Perú S.A.A.,20266
2018,III,Telefónica del Perú S.A.A.,20266
2018,IV,Telefónica del Perú S.A.A.,19780
2019,I,Telefónica del Perú S.A.A.,19780
2019,II,Telefónica del Perú S.A.A.,19780
2019,III,Telefónica del Perú S.A.A.,19780
2010,IV,América Móvil Perú S.A.C.,27142
2011,IV,América Móvil Perú S.A.C.,30061
2012,IV,América Móvil Perú S.A.C.,30029
2013,IV,América Móvil Perú S.A.C.,39105
2014,III,América Móvil Perú S.A.C.,38913
2014,IV,América Móvil Perú S.A.C.,18590
2015,I,América Móvil Perú S.A.C.,19140
2015,II,América Móvil Perú S.A.C.,19256
2015,III,América Móvil Perú S.A.C.,19256
2015,IV,América Móvil Perú S.A.C.,19255
2016,I,América Móvil Perú S.A.C.,19257
2016,II,América Móvil Perú S.A.C.,19219
2016,III,América Móvil Perú S.A.C.,19238
2016,IV,América Móvil Perú S.A.C.,22379
2017,I,América Móvil Perú S.A.C.,22422
2017,II,América Móvil Perú S.A.C.,22763
2017,III,América Móvil Perú S.A.C.,22822
2017,IV,América Móvil Perú S.A.C.,22904
2018,I,América Móvil Perú S.A.C.,22905
2018,II,América Móvil Perú S.A.C.,22906
2018,III,América Móvil Perú S.A.C.,22991
2018,IV,América Móvil Perú S.A.C.,22557
2019,I,América Móvil Perú S.A.C.,22569
2019,II,América Móvil Perú S.A.C.,22582
2019,III,América Móvil Perú S.A.C.,22582
2010,IV,Entel Perú S.A.,928
2011,IV,Entel Perú S.A.,928
2012,IV,Entel Perú S.A.,1566
2013,IV,Entel Perú S.A.,5760
2014,III,Entel Perú S.A.,2545
2014,IV,Entel Perú S.A.,2592
2015,I,Entel Perú S.A.,2691
2015,II,Entel Perú S.A.,2839
2015,III,Entel Perú S.A.,4168
2015,IV,Entel Perú S.A.,5235
2016,I,Entel Perú S.A.,5574
2016,II,Entel Perú S.A.,6088
2016,III,Entel Perú S.A.,6432
2016,IV,Entel Perú S.A.,6709
2017,I,Entel Perú S.A.,6726
2017,II,Entel Perú S.A.,6730
2017,III,Entel Perú S.A.,6828
2017,IV,Entel Perú S.A.,7339
2018,I,Entel Perú S.A.,7352
2018,II,Entel Perú S.A.,7357
2018,III,Entel Perú S.A.,7488
2018,IV,Entel Perú S.A.,7545
2019,I,Entel Perú S.A.,7590
2019,II,Entel Perú S.A.,7589
2019,III,Entel Perú S.A.,7587
2013,IV,Viettel Perú S.A.C.,2
2014,III,Viettel Perú S.A.C.,4453
2014,IV,Viettel Perú S.A.C.,11510
2015,I,Viettel Perú S.A.C.,11372
2015,II,Viettel Perú S.A.C.,16223
2015,III,Viettel Perú S.A.C.,17506
2015,IV,Viettel Perú S.A.C.,17610
2016,I,Viettel Perú S.A.C.,17612
2016,II,Viettel Perú S.A.C.,18493
2016,III,Viettel Perú S.A.C.,18744
2016,IV,Viettel Perú S.A.C.,18748
2017,I,Viettel Perú S.A.C.,23294
2017,II,Viettel Perú S.A.C.,23959
2017,III,Viettel Perú S.A.C.,29671
2017,IV,Viettel Perú S.A.C.,30331
2018,I,Viettel Perú S.A.C.,29656
2018,II,Viettel Perú S.A.C.,29899
2018,III,Viettel Perú S.A.C.,30264
2018,IV,Viettel Perú S.A.C.,27058
2019,I,Viettel Perú S.A.C.,27058
2019,II,Viettel Perú S.A.C.,27079
2019,III,Viettel Perú S.A.C.,27079
